subscription ID	Plan	Product	Interval	Amount	Status
sub_1OrLm4I9Qa85Sr7CCCGRNEG5	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OlwlXI9Qa85Sr7CVafuCXLP	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OlQsHI9Qa85Sr7ClPNO0X7T	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OeCILI9Qa85Sr7CX6sUySoM	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OXXaqI9Qa85Sr7CxkrQR6sj	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OXN7UI9Qa85Sr7CfRRclZaq	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OX5cOI9Qa85Sr7Cip4zHUQO	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OWKvGI9Qa85Sr7Csfqxzfp8	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OW2TxI9Qa85Sr7C7ILbSviv	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1OVJABI9Qa85Sr7CdrytSZlD	price_1NxwoBI9Qa85Sr7CZy1RqQJs	Chat Start : 10k MAU	year	4788	active
sub_1Pi97qI9Qa85Sr7CxEYWlcKI	price_1OzhuSI9Qa85Sr7CtR4cjihm	Video Enterprise : Quarterly	month	4500	past_due
sub_1PXpswI9Qa85Sr7CNJYbLG4t	price_1Nqgr4I9Qa85Sr7CM6J32dy7	Chat Enterprise : Monthly	month	4500	past_due
sub_1PalToI9Qa85Sr7Cqk956EEp	price_1MGp5mI9Qa85Sr7CaWash849	Chat Standard : Quarterly	month	3897	active
sub_1OYb0tI9Qa85Sr7CNQKFVSm0	price_1Mx0OCI9Qa85Sr7C3ykdTFYn	Chat Enterprise : Monthly	month	3600	past_due
sub_1Q4mdyI9Qa85Sr7C8dwT9sQz	price_1KnsEKI9Qa85Sr7CrAGGyMG0	Feeds Standard : Annually	year	3228	active
sub_1PPA74I9Qa85Sr7CSrp8ayom	price_1KnsEKI9Qa85Sr7CrAGGyMG0	Feeds Standard : Annually	year	3228	active
sub_1P2GHvI9Qa85Sr7C1DXpyfFi	price_1KnsEKI9Qa85Sr7CrAGGyMG0	Feeds Standard : Annually	year	3228	active
sub_1Pu6q3I9Qa85Sr7C0J5YK5Yy	price_1KsXNfI9Qa85Sr7COYdoFkP9	Chat Enterprise - Support : Quarterly	month	3000	past_due
sub_1PaS8UI9Qa85Sr7CBNYJemam	price_1PWj7eI9Qa85Sr7CoKxiNiWr	Chat Enterprise - Development Term : 3 Months	month	3000	active
sub_1OpE8PI9Qa85Sr7Ccru5jF1z	price_1OpE5GI9Qa85Sr7CIb3f3NgO	Video Enterprise - Support : Quarterly	month	3000	active
sub_1PMdEZI9Qa85Sr7CXdYbvG11	price_1PMdDHI9Qa85Sr7CG30R3pnc	Chat Enterprise - Support : Quarterly	month	2750	past_due
sub_1Pu6q0I9Qa85Sr7Ct0HuAkgT	price_1PtzGrI9Qa85Sr7CGPpLgKYR	Video : Quarterly	month	2500	past_due
sub_1P0WMnI9Qa85Sr7Cqspr4OKw	price_1Oly4II9Qa85Sr7CP4GS9tkn	Video Enterprise : Quarterly	month	2500	active
sub_1Oly93I9Qa85Sr7Cp6lvhcx2	price_1Oly4II9Qa85Sr7CP4GS9tkn	Video Enterprise : Quarterly	month	2500	past_due
sub_1OouzlI9Qa85Sr7CtqpiMpHW	price_1Nxwz3I9Qa85Sr7C8Sl3Kmy0	Chat Start : 50k MAU	month	2299	active
sub_1PtFvGI9Qa85Sr7CMokE1suP	price_1PtFtkI9Qa85Sr7CSI2IfgVR	Chat Elevate : 10k MAU	month	2192	active
sub_1OwFY2I9Qa85Sr7CCLglQ1Lq	price_1OwFVrI9Qa85Sr7CD7P1HixR	Video : Quarterly	month	2052	past_due
